Calibrating current sensor...
Make sure motor is NOT moving!
Zero ADC: 467.79
Zero voltage: 2.286
Test current (~0 A): -0.361
Starting test in 3 seconds...
Time_s,RPM,Current_A
8.960052,87.50,-0.986705
8.970016,87.50,-0.365982
8.980089,87.50,-0.097165
8.990056,87.50,-0.600586
9.000017,87.50,-0.483284
9.010081,87.50,-0.468621
9.020049,87.50,0.386705
9.030009,87.50,-0.092278
9.040081,87.50,0.518670
9.050032,87.50,-0.072727
9.060100,87.50,0.401368
9.070033,87.50,-1.333723
9.080033,87.50,-0.879178
9.090012,87.50,-0.165591
9.100080,87.50,0.235190
9.110020,87.50,-0.615249
9.120093,87.50,-0.102053
9.130057,87.50,-0.062952
9.140016,87.50,0.357380
9.150069,87.50,-0.307331
9.160048,87.50,0.147214
9.170013,87.50,-0.121603
9.180085,87.50,0.352492
9.190032,87.50,-1.138220
9.200016,87.50,0.670185
9.210064,87.50,-0.810752
9.220025,87.50,-0.180254
9.230100,87.50,1.080742
9.240053,87.50,-0.072727
9.250028,87.50,0.264516
9.260096,87.50,-0.928054
9.270065,87.50,0.582209
9.280016,87.50,-0.561485
9.290097,87.50,0.049462
9.300045,87.50,-0.522385
